Time,Consumption,Production,EPEX,Actual usage,Base volume,Peak volume,Hedge Volume,Uncovered,Long,Short,Usage Cost,Delta Cost,Hedge Cost,Total Cost
14:15,400,523,0.0965800,(123),250,250,500,(623),623,-,-11.8793,-60.1693,0.0000,-60.1693
14:30,400,520,0.0958300,(120),250,250,500,(620),620,-,-11.4996,-59.4146,0.0000,-59.4146
14:45,420,397,0.0944400,23,250,250,500,(477),477,-,2.1721,-45.0479,0.0000,-45.0479
15:00,418,393,0.0915400,25,250,250,500,(475),475,-,2.2885,-43.4815,0.0000,-43.4815
15:15,416,390,0.0907900,26,250,250,500,(474),474,-,2.3605,-43.0345,0.0000,-43.0345
15:30,412,387,0.0911600,25,250,250,500,(475),475,-,2.2790,-43.3010,0.0000,-43.3010
15:45,408,383,0.0938000,25,250,250,500,(475),475,-,2.3450,-44.5550,0.0000,-44.5550
16:00,404,380,0.0854400,24,250,250,500,(476),476,-,2.0506,-40.6694,0.0000,-40.6694
16:15,398,358,0.0856700,40,250,250,500,(460),460,-,3.4268,-39.4082,0.0000,-39.4082
16:30,392,335,0.0951200,57,250,250,500,(443),443,-,5.4218,-42.1382,0.0000,-42.1382
16:45,386,312,0.1042500,74,250,250,500,(426),426,-,7.7145,-44.4105,0.0000,-44.4105
17:00,400,290,0.0928900,110,250,250,500,(390),390,-,10.2179,-36.2271,0.0000,-36.2271
17:15,423,268,0.1050600,155,250,250,500,(345),345,-,16.2843,-36.2457,0.0000,-36.2457
17:30,447,245,0.1063800,202,250,250,500,(298),298,-,21.4888,-31.7012,0.0000,-31.7012
17:45,470,222,0.1115700,248,250,250,500,(252),252,-,27.6694,-28.1156,0.0000,-28.1156
18:00,493,200,0.1049300,293,250,250,500,(207),207,-,30.7445,-21.7205,0.0000,-21.7205
18:15,517,175,0.1086200,342,250,250,500,(158),158,-,37.1480,-17.1620,0.0000,-17.1620
18:30,540,150,0.1315200,390,250,250,500,(110),110,-,51.2928,-14.4672,0.0000,-14.4672
18:45,563,125,0.1399300,438,250,250,500,(62),62,-,61.2893,-8.6757,0.0000,-8.6757
19:00,587,100,0.1234100,487,250,250,500,(13),13,-,60.1007,-1.6043,0.0000,-1.6043
19:15,610,75,0.1514900,535,250,250,500,35,-,35,81.0472,5.3022,0.0000,5.3022
19:30,633,50,0.1836200,583,250,250,500,83,-,83,107.0505,15.2405,0.0000,15.2405
19:45,657,25,0.2096800,632,250,250,500,132,-,132,132.5178,27.6778,0.0000,27.6778
20:00,680,-,0.1795900,680,250,250,500,180,-,180,122.1212,32.3262,0.0000,32.3262
20:15,632,-,0.2112200,632,250,-,250,382,-,382,133.4910,80.6860,0.0000,80.6860
20:30,585,-,0.2397100,585,250,-,250,335,-,335,140.2304,80.3029,0.0000,80.3029
20:45,538,-,0.2804000,538,250,-,250,288,-,288,150.8552,80.7552,0.0000,80.7552
21:00,490,-,0.2478000,490,250,-,250,240,-,240,121.4220,59.4720,0.0000,59.4720
21:15,442,-,0.2536000,442,250,-,250,192,-,192,112.0912,48.6912,0.0000,48.6912
21:30,395,-,0.2528900,395,250,-,250,145,-,145,99.8916,36.6691,0.0000,36.6691
21:45,348,-,0.2220300,348,250,-,250,98,-,98,77.2664,21.7589,0.0000,21.7589
22:00,300,-,0.2387900,300,250,-,250,50,-,50,71.6370,11.9395,0.0000,11.9395
22:15,285,-,0.2041400,285,250,-,250,35,-,35,58.1799,7.1449,0.0000,7.1449
22:30,270,-,0.1824000,270,250,-,250,20,-,20,49.2480,3.6480,0.0000,3.6480
22:45,255,-,0.1701900,255,250,-,250,5,-,5,43.3985,0.8510,0.0000,0.8510
23:00,240,-,0.1832300,240,250,-,250,(10),10,-,43.9752,-1.8323,0.0000,-1.8323
23:15,225,-,0.1683700,225,250,-,250,(25),25,-,37.8833,-4.2093,0.0000,-4.2093
23:30,210,-,0.1457100,210,250,-,250,(40),40,-,30.5991,-5.8284,0.0000,-5.8284
23:45,195,-,0.1323200,195,250,-,250,(55),55,-,25.8024,-7.2776,0.0000,-7.2776
